semana_inicio,semana_fin,anio,semana_iso,ciudad,canal_medio,tipo_medio,inversion_eur,objetivo_principal
2020-01-06,2020-01-12,2020,2,Malaga,Radio Local,Offline,1225.43,Notoriedad
2020-01-06,2020-01-12,2020,2,Malaga,Exterior,Offline,2614.05,Performance
2020-01-06,2020-01-12,2020,2,Malaga,Prensa,Offline,680.13,Captacion
2020-01-06,2020-01-12,2020,2,Zaragoza,Paid Search,Online,2240.68,Click&Collect
2020-01-06,2020-01-12,2020,2,Zaragoza,Social Paid,Online,2009.58,Captacion
2020-01-06,2020-01-12,2020,2,Zaragoza,Video Online,Online,1760.61,Captacion
2020-01-06,2020-01-12,2020,2,Zaragoza,Display,Online,2289.86,Trafico tienda
2020-01-06,2020-01-12,2020,2,Zaragoza,Email CRM,Online,677.16,Notoriedad
2020-01-06,2020-01-12,2020,2,Zaragoza,Radio Local,Offline,1163.27,Notoriedad
2020-01-06,2020-01-12,2020,2,Zaragoza,Exterior,Offline,1923.55,Trafico tienda
2020-01-06,2020-01-12,2020,2,Zaragoza,Prensa,Offline,761.7,Click&Collect
2020-01-06,2020-01-12,2020,2,Bilbao,Paid Search,Online,2595.81,Captacion
2020-01-06,2020-01-12,2020,2,Bilbao,Social Paid,Online,2587.99,Notoriedad
2020-01-06,2020-01-12,2020,2,Bilbao,Video Online,Online,2422.61,Performance
2020-01-06,2020-01-12,2020,2,Bilbao,Display,Online,531.84,Notoriedad
2020-01-06,2020-01-12,2020,2,Bilbao,Email CRM,Online,407.79,Notoriedad
2020-01-06,2020-01-12,2020,2,Bilbao,Radio Local,Offline,762.6,Performance
2020-01-06,2020-01-12,2020,2,Bilbao,Exterior,Offline,1970.85,Remarketing
2020-01-06,2020-01-12,2020,2,Bilbao,Prensa,Offline,1749.43,Trafico tienda
2020-01-06,2020-01-12,2020,2,Murcia,Paid Search,Online,2678.22,Click&Collect
2020-01-06,2020-01-12,2020,2,Murcia,Social Paid,Online,1623.04,Performance
2020-01-06,2020-01-12,2020,2,Murcia,Video Online,Online,1461.16,Performance
2020-01-06,2020-01-12,2020,2,Murcia,Display,Online,993.27,Remarketing
2020-01-06,2020-01-12,2020,2,Murcia,Email CRM,Online,337.51,Captacion
2020-01-06,2020-01-12,2020,2,Murcia,Radio Local,Offline,1736.26,Remarketing
2020-01-06,2020-01-12,2020,2,Murcia,Exterior,Offline,2046.37,Remarketing
2020-01-06,2020-01-12,2020,2,Murcia,Prensa,Offline,766.39,Notoriedad
2020-01-06,2020-01-12,2020,2,Palma,Paid Search,Online,2219.75,Trafico tienda
2020-01-06,2020-01-12,2020,2,Palma,Social Paid,Online,1423.97,Captacion
2020-01-06,2020-01-12,2020,2,Palma,Video Online,Online,1957.09,Performance
2020-01-06,2020-01-12,2020,2,Palma,Display,Online,1134.93,Trafico tienda
2020-01-06,2020-01-12,2020,2,Palma,Email CRM,Online,529.61,Click&Collect
2020-01-06,2020-01-12,2020,2,Palma,Radio Local,Offline,934.1,Notoriedad
2020-01-06,2020-01-12,2020,2,Palma,Exterior,Offline,1743.99,Click&Collect
2020-01-06,2020-01-12,2020,2,Palma,Prensa,Offline,1372.58,Notoriedad
2020-01-06,2020-01-12,2020,2,A Coruna,Paid Search,Online,1467.96,Notoriedad
2020-01-06,2020-01-12,2020,2,A Coruna,Social Paid,Online,1917.33,Remarketing
2020-01-06,2020-01-12,2020,2,A Coruna,Video Online,Online,1641.78,Notoriedad
2020-01-06,2020-01-12,2020,2,A Coruna,Display,Online,581.95,Click&Collect
2020-01-06,2020-01-12,2020,2,A Coruna,Email CRM,Online,948.84,Trafico tienda
2020-01-06,2020-01-12,2020,2,A Coruna,Radio Local,Offline,1200.34,Trafico tienda
2020-01-06,2020-01-12,2020,2,A Coruna,Exterior,Offline,2035.84,Remarketing
2020-01-06,2020-01-12,2020,2,A Coruna,Prensa,Offline,781.85,Captacion
2020-01-13,2020-01-19,2020,3,Madrid,Paid Search,Online,7989.07,Click&Collect
2020-01-13,2020-01-19,2020,3,Madrid,Social Paid,Online,3126.15,Captacion
2020-01-13,2020-01-19,2020,3,Madrid,Video Online,Online,2884.09,Remarketing
2020-01-13,2020-01-19,2020,3,Madrid,Display,Online,1596.55,Performance
2020-01-13,2020-01-19,2020,3,Madrid,Email CRM,Online,2067.38,Remarketing
2020-01-13,2020-01-19,2020,3,Madrid,Radio Local,Offline,1828.12,Remarketing
2020-01-13,2020-01-19,2020,3,Madrid,Exterior,Offline,3260.79,Trafico tienda
2020-01-13,2020-01-19,2020,3,Madrid,Prensa,Offline,1769.28,Performance
2020-01-13,2020-01-19,2020,3,Barcelona,Paid Search,Online,5033.46,Notoriedad
2020-01-13,2020-01-19,2020,3,Barcelona,Social Paid,Online,5158.17,Notoriedad
2020-01-13,2020-01-19,2020,3,Barcelona,Video Online,Online,3295.49,Notoriedad
2020-01-13,2020-01-19,2020,3,Barcelona,Display,Online,1274.28,Click&Collect
2020-01-13,2020-01-19,2020,3,Barcelona,Email CRM,Online,1349.57,Performance
2020-01-13,2020-01-19,2020,3,Barcelona,Radio Local,Offline,2070.82,Trafico tienda
2020-01-13,2020-01-19,2020,3,Barcelona,Exterior,Offline,1943.18,Notoriedad
2020-01-13,2020-01-19,2020,3,Barcelona,Prensa,Offline,2162.01,Click&Collect
2020-01-13,2020-01-19,2020,3,Valencia,Paid Search,Online,3152.38,Captacion
2020-01-13,2020-01-19,2020,3,Valencia,Social Paid,Online,2237.37,Trafico tienda
2020-01-13,2020-01-19,2020,3,Valencia,Video Online,Online,2764.65,Click&Collect
2020-01-13,2020-01-19,2020,3,Valencia,Display,Online,1020.05,Captacion
2020-01-13,2020-01-19,2020,3,Valencia,Email CRM,Online,1896.15,Captacion
2020-01-13,2020-01-19,2020,3,Valencia,Radio Local,Offline,1495.81,Trafico tienda
2020-01-13,2020-01-19,2020,3,Valencia,Exterior,Offline,1646.24,Captacion
2020-01-13,2020-01-19,2020,3,Valencia,Prensa,Offline,1826.78,Captacion
2020-01-13,2020-01-19,2020,3,Sevilla,Paid Search,Online,4817.74,Click&Collect
2020-01-13,2020-01-19,2020,3,Sevilla,Social Paid,Online,2713.15,Trafico tienda
2020-01-13,2020-01-19,2020,3,Sevilla,Video Online,Online,2169.1,Click&Collect
2020-01-13,2020-01-19,2020,3,Sevilla,Display,Online,1054.66,Performance
2020-01-13,2020-01-19,2020,3,Sevilla,Email CRM,Online,764.14,Remarketing
2020-01-13,2020-01-19,2020,3,Sevilla,Radio Local,Offline,476.98,Remarketing
2020-01-13,2020-01-19,2020,3,Sevilla,Exterior,Offline,1809.55,Performance
2020-01-13,2020-01-19,2020,3,Sevilla,Prensa,Offline,944.02,Performance
2020-01-13,2020-01-19,2020,3,Malaga,Paid Search,Online,1980.34,Notoriedad
2020-01-13,2020-01-19,2020,3,Malaga,Social Paid,Online,2530.2,Remarketing
2020-01-13,2020-01-19,2020,3,Malaga,Video Online,Online,2047.39,Trafico tienda
2020-01-13,2020-01-19,2020,3,Malaga,Display,Online,624.5,Click&Collect
2020-01-13,2020-01-19,2020,3,Malaga,Email CRM,Online,357.31,Trafico tienda
2020-01-13,2020-01-19,2020,3,Malaga,Radio Local,Offline,2095.62,Captacion
2020-01-13,2020-01-19,2020,3,Malaga,Exterior,Offline,2973.46,Remarketing
2020-01-13,2020-01-19,2020,3,Malaga,Prensa,Offline,1350.81,Click&Collect
2020-01-13,2020-01-19,2020,3,Zaragoza,Paid Search,Online,3911.13,Notoriedad
2020-01-13,2020-01-19,2020,3,Zaragoza,Social Paid,Online,1759.4,Trafico tienda
2020-01-13,2020-01-19,2020,3,Zaragoza,Video Online,Online,2294.96,Notoriedad
2020-01-13,2020-01-19,2020,3,Zaragoza,Display,Online,752.05,Click&Collect
2020-01-13,2020-01-19,2020,3,Zaragoza,Email CRM,Online,626.26,Performance
2020-01-13,2020-01-19,2020,3,Zaragoza,Radio Local,Offline,1003.2,Performance
2020-01-13,2020-01-19,2020,3,Zaragoza,Exterior,Offline,854.18,Remarketing
2020-01-13,2020-01-19,2020,3,Zaragoza,Prensa,Offline,1151.27,Remarketing
2020-01-13,2020-01-19,2020,3,Bilbao,Paid Search,Online,2100.18,Performance
2020-01-13,2020-01-19,2020,3,Bilbao,Social Paid,Online,1897.36,Captacion
2020-01-13,2020-01-19,2020,3,Bilbao,Video Online,Online,1682.28,Trafico tienda
2020-01-13,2020-01-19,2020,3,Bilbao,Display,Online,1956.25,Notoriedad
2020-01-13,2020-01-19,2020,3,Bilbao,Email CRM,Online,35.02,Click&Collect
2020-01-13,2020-01-19,2020,3,Bilbao,Radio Local,Offline,1529.36,Trafico tienda
2020-01-13,2020-01-19,2020,3,Bilbao,Exterior,Offline,1758.98,Captacion
2020-01-13,2020-01-19,2020,3,Bilbao,Prensa,Offline,1125.59,Notoriedad
2020-01-13,2020-01-19,2020,3,Murcia,Paid Search,Online,3326.04,Click&Collect
2020-01-13,2020-01-19,2020,3,Murcia,Social Paid,Online,1873.33,Notoriedad
2020-01-13,2020-01-19,2020,3,Murcia,Video Online,Online,2007.89,Trafico tienda
2020-01-13,2020-01-19,2020,3,Murcia,Display,Online,1427.37,Click&Collect
2020-01-13,2020-01-19,2020,3,Murcia,Email CRM,Online,341.58,Trafico tienda
2020-01-13,2020-01-19,2020,3,Murcia,Radio Local,Offline,1019.03,Click&Collect
2020-01-13,2020-01-19,2020,3,Murcia,Exterior,Offline,1422.55,Click&Collect
2020-01-13,2020-01-19,2020,3,Murcia,Prensa,Offline,821.37,Captacion
2020-01-13,2020-01-19,2020,3,Palma,Paid Search,Online,4008.19,Performance
2020-01-13,2020-01-19,2020,3,Palma,Social Paid,Online,1138.26,Click&Collect
2020-01-13,2020-01-19,2020,3,Palma,Video Online,Online,1036.9,Notoriedad
2020-01-13,2020-01-19,2020,3,Palma,Display,Online,324.07,Captacion
2020-01-13,2020-01-19,2020,3,Palma,Email CRM,Online,839.02,Captacion
2020-01-13,2020-01-19,2020,3,Palma,Radio Local,Offline,1863.45,Notoriedad
2020-01-13,2020-01-19,2020,3,Palma,Exterior,Offline,769.02,Click&Collect
2020-01-13,2020-01-19,2020,3,Palma,Prensa,Offline,788.1,Captacion
2020-01-13,2020-01-19,2020,3,A Coruna,Paid Search,Online,2233.14,Click&Collect
2020-01-13,2020-01-19,2020,3,A Coruna,Social Paid,Online,2142.13,Captacion
2020-01-13,2020-01-19,2020,3,A Coruna,Video Online,Online,1192.87,Click&Collect
2020-01-13,2020-01-19,2020,3,A Coruna,Display,Online,439.07,Trafico tienda
2020-01-13,2020-01-19,2020,3,A Coruna,Email CRM,Online,784.27,Click&Collect
2020-01-13,2020-01-19,2020,3,A Coruna,Radio Local,Offline,1603.63,Performance
2020-01-13,2020-01-19,2020,3,A Coruna,Exterior,Offline,1455.77,Performance
2020-01-13,2020-01-19,2020,3,A Coruna,Prensa,Offline,718.7,Notoriedad
2020-01-20,2020-01-26,2020,4,Madrid,Paid Search,Online,4214.9,Captacion
2020-01-20,2020-01-26,2020,4,Madrid,Social Paid,Online,2645.36,Performance
2020-01-20,2020-01-26,2020,4,Madrid,Video Online,Online,5161.49,Captacion
2020-01-20,2020-01-26,2020,4,Madrid,Display,Online,1785.07,Trafico tienda
2020-01-20,2020-01-26,2020,4,Madrid,Email CRM,Online,950.69,Captacion
2020-01-20,2020-01-26,2020,4,Madrid,Radio Local,Offline,2580.49,Remarketing
2020-01-20,2020-01-26,2020,4,Madrid,Exterior,Offline,2409.27,Click&Collect
2020-01-20,2020-01-26,2020,4,Madrid,Prensa,Offline,2805.78,Performance
2020-01-20,2020-01-26,2020,4,Barcelona,Paid Search,Online,4783.12,Click&Collect
2020-01-20,2020-01-26,2020,4,Barcelona,Social Paid,Online,3842.29,Captacion
2020-01-20,2020-01-26,2020,4,Barcelona,Video Online,Online,3648.13,Click&Collect
2020-01-20,2020-01-26,2020,4,Barcelona,Display,Online,2389.12,Performance
2020-01-20,2020-01-26,2020,4,Barcelona,Email CRM,Online,1063.84,Captacion
2020-01-20,2020-01-26,2020,4,Barcelona,Radio Local,Offline,1613.1,Notoriedad
2020-01-20,2020-01-26,2020,4,Barcelona,Exterior,Offline,2483.64,Remarketing
2020-01-20,2020-01-26,2020,4,Barcelona,Prensa,Offline,810.75,Captacion
2020-01-20,2020-01-26,2020,4,Valencia,Paid Search,Online,3229.97,Performance
2020-01-20,2020-01-26,2020,4,Valencia,Social Paid,Online,1899.93,Captacion
2020-01-20,2020-01-26,2020,4,Valencia,Video Online,Online,2611.14,Notoriedad
2020-01-20,2020-01-26,2020,4,Valencia,Display,Online,1993.2,Click&Collect
2020-01-20,2020-01-26,2020,4,Valencia,Email CRM,Online,714.94,Trafico tienda
2020-01-20,2020-01-26,2020,4,Valencia,Radio Local,Offline,1784.32,Remarketing
2020-01-20,2020-01-26,2020,4,Valencia,Exterior,Offline,1893.9,Click&Collect
2020-01-20,2020-01-26,2020,4,Valencia,Prensa,Offline,1366.97,Remarketing
2020-01-20,2020-01-26,2020,4,Sevilla,Paid Search,Online,3385.33,Notoriedad
2020-01-20,2020-01-26,2020,4,Sevilla,Social Paid,Online,1795.88,Remarketing
2020-01-20,2020-01-26,2020,4,Sevilla,Video Online,Online,1397.06,Trafico tienda
2020-01-20,2020-01-26,2020,4,Sevilla,Display,Online,1002.17,Remarketing
2020-01-20,2020-01-26,2020,4,Sevilla,Email CRM,Online,507.07,Click&Collect
2020-01-20,2020-01-26,2020,4,Sevilla,Radio Local,Offline,1155.71,Performance
2020-01-20,2020-01-26,2020,4,Sevilla,Exterior,Offline,2143.66,Performance
2020-01-20,2020-01-26,2020,4,Sevilla,Prensa,Offline,1661.01,Notoriedad
2020-01-20,2020-01-26,2020,4,Malaga,Paid Search,Online,4129.41,Performance
2020-01-20,2020-01-26,2020,4,Malaga,Social Paid,Online,1444.77,Captacion
2020-01-20,2020-01-26,2020,4,Malaga,Video Online,Online,1789.62,Trafico tienda
2020-01-20,2020-01-26,2020,4,Malaga,Display,Online,1107.02,Captacion
2020-01-20,2020-01-26,2020,4,Malaga,Email CRM,Online,462.71,Trafico tienda
2020-01-20,2020-01-26,2020,4,Malaga,Radio Local,Offline,833.7,Performance
2020-01-20,2020-01-26,2020,4,Malaga,Exterior,Offline,1856.43,Trafico tienda
2020-01-20,2020-01-26,2020,4,Malaga,Prensa,Offline,1467.08,Captacion
2020-01-20,2020-01-26,2020,4,Zaragoza,Paid Search,Online,3432.33,Performance
2020-01-20,2020-01-26,2020,4,Zaragoza,Social Paid,Online,1174.87,Performance
2020-01-20,2020-01-26,2020,4,Zaragoza,Video Online,Online,1389.4,Captacion
2020-01-20,2020-01-26,2020,4,Zaragoza,Display,Online,1252.58,Click&Collect
2020-01-20,2020-01-26,2020,4,Zaragoza,Email CRM,Online,440.72,Performance
2020-01-20,2020-01-26,2020,4,Zaragoza,Radio Local,Offline,617.2,Performance
2020-01-20,2020-01-26,2020,4,Zaragoza,Exterior,Offline,998.54,Performance
2020-01-20,2020-01-26,2020,4,Zaragoza,Prensa,Offline,1767.11,Click&Collect
2020-01-20,2020-01-26,2020,4,Bilbao,Paid Search,Online,2296.34,Notoriedad
2020-01-20,2020-01-26,2020,4,Bilbao,Social Paid,Online,1469.45,Notoriedad
2020-01-20,2020-01-26,2020,4,Bilbao,Video Online,Online,719.79,Click&Collect
2020-01-20,2020-01-26,2020,4,Bilbao,Display,Online,335.02,Remarketing
2020-01-20,2020-01-26,2020,4,Bilbao,Email CRM,Online,464.76,Performance
2020-01-20,2020-01-26,2020,4,Bilbao,Radio Local,Offline,1066.63,Captacion
2020-01-20,2020-01-26,2020,4,Bilbao,Exterior,Offline,3137.91,Performance
2020-01-20,2020-01-26,2020,4,Bilbao,Prensa,Offline,1144.97,Captacion
2020-01-20,2020-01-26,2020,4,Murcia,Paid Search,Online,2791.11,Remarketing
2020-01-20,2020-01-26,2020,4,Murcia,Social Paid,Online,2448.88,Performance
2020-01-20,2020-01-26,2020,4,Murcia,Video Online,Online,1591.09,Remarketing
2020-01-20,2020-01-26,2020,4,Murcia,Display,Online,742.63,Performance
2020-01-20,2020-01-26,2020,4,Murcia,Email CRM,Online,222.9,Captacion
2020-01-20,2020-01-26,2020,4,Murcia,Radio Local,Offline,1253.75,Notoriedad
2020-01-20,2020-01-26,2020,4,Murcia,Exterior,Offline,1398.24,Notoriedad
2020-01-20,2020-01-26,2020,4,Murcia,Prensa,Offline,677.32,Performance
2020-01-20,2020-01-26,2020,4,Palma,Paid Search,Online,3416.85,Performance
2020-01-20,2020-01-26,2020,4,Palma,Social Paid,Online,1281.22,Notoriedad
2020-01-20,2020-01-26,2020,4,Palma,Video Online,Online,2062.39,Captacion
2020-01-20,2020-01-26,2020,4,Palma,Display,Online,986.38,Captacion
2020-01-20,2020-01-26,2020,4,Palma,Email CRM,Online,303.62,Trafico tienda
2020-01-20,2020-01-26,2020,4,Palma,Radio Local,Offline,795.42,Trafico tienda
2020-01-20,2020-01-26,2020,4,Palma,Exterior,Offline,697.43,Remarketing
2020-01-20,2020-01-26,2020,4,Palma,Prensa,Offline,724.72,Notoriedad
2020-01-20,2020-01-26,2020,4,A Coruna,Paid Search,Online,2376.3,Captacion
2020-01-20,2020-01-26,2020,4,A Coruna,Social Paid,Online,2360.55,Captacion
2020-01-20,2020-01-26,2020,4,A Coruna,Video Online,Online,1285.66,Performance
2020-01-20,2020-01-26,2020,4,A Coruna,Display,Online,659.1,Notoriedad
2020-01-20,2020-01-26,2020,4,A Coruna,Email CRM,Online,307.21,Trafico tienda
2020-01-20,2020-01-26,2020,4,A Coruna,Radio Local,Offline,1169.35,Remarketing
2020-01-20,2020-01-26,2020,4,A Coruna,Exterior,Offline,969.03,Remarketing
2020-01-20,2020-01-26,2020,4,A Coruna,Prensa,Offline,651.94,Notoriedad
2020-01-27,2020-02-02,2020,5,Madrid,Paid Search,Online,3782.69,Notoriedad
2020-01-27,2020-02-02,2020,5,Madrid,Social Paid,Online,5264.06,Performance
2020-01-27,2020-02-02,2020,5,Madrid,Video Online,Online,4399.91,Performance
2020-01-27,2020-02-02,2020,5,Madrid,Display,Online,1312.13,Captacion
2020-01-27,2020-02-02,2020,5,Madrid,Email CRM,Online,641.4,Click&Collect
2020-01-27,2020-02-02,2020,5,Madrid,Radio Local,Offline,3130.2,Performance
2020-01-27,2020-02-02,2020,5,Madrid,Exterior,Offline,2270.92,Notoriedad
2020-01-27,2020-02-02,2020,5,Madrid,Prensa,Offline,1957.83,Trafico tienda
2020-01-27,2020-02-02,2020,5,Barcelona,Paid Search,Online,4397.96,Remarketing
2020-01-27,2020-02-02,2020,5,Barcelona,Social Paid,Online,3658.18,Trafico tienda
2020-01-27,2020-02-02,2020,5,Barcelona,Video Online,Online,3490.12,Click&Collect
2020-01-27,2020-02-02,2020,5,Barcelona,Display,Online,1918.27,Trafico tienda
2020-01-27,2020-02-02,2020,5,Barcelona,Email CRM,Online,779.14,Remarketing
2020-01-27,2020-02-02,2020,5,Barcelona,Radio Local,Offline,1985.14,Remarketing
2020-01-27,2020-02-02,2020,5,Barcelona,Exterior,Offline,2314.82,Notoriedad
2020-01-27,2020-02-02,2020,5,Barcelona,Prensa,Offline,2104.19,Click&Collect
2020-01-27,2020-02-02,2020,5,Valencia,Paid Search,Online,2317.23,Click&Collect
2020-01-27,2020-02-02,2020,5,Valencia,Social Paid,Online,2753.86,Trafico tienda
2020-01-27,2020-02-02,2020,5,Valencia,Video Online,Online,2065.77,Remarketing
2020-01-27,2020-02-02,2020,5,Valencia,Display,Online,1615.97,Remarketing
2020-01-27,2020-02-02,2020,5,Valencia,Email CRM,Online,827.91,Trafico tienda
2020-01-27,2020-02-02,2020,5,Valencia,Radio Local,Offline,1483.76,Trafico tienda
2020-01-27,2020-02-02,2020,5,Valencia,Exterior,Offline,2209.71,Remarketing
2020-01-27,2020-02-02,2020,5,Valencia,Prensa,Offline,1656.53,Captacion
2020-01-27,2020-02-02,2020,5,Sevilla,Paid Search,Online,2793.78,Trafico tienda
2020-01-27,2020-02-02,2020,5,Sevilla,Social Paid,Online,2491.15,Captacion
2020-01-27,2020-02-02,2020,5,Sevilla,Video Online,Online,2193.69,Remarketing
2020-01-27,2020-02-02,2020,5,Sevilla,Display,Online,558.71,Captacion
2020-01-27,2020-02-02,2020,5,Sevilla,Email CRM,Online,1302.76,Captacion
2020-01-27,2020-02-02,2020,5,Sevilla,Radio Local,Offline,1274.73,Notoriedad
2020-01-27,2020-02-02,2020,5,Sevilla,Exterior,Offline,1686.17,Performance
2020-01-27,2020-02-02,2020,5,Sevilla,Prensa,Offline,1430.43,Click&Collect
2020-01-27,2020-02-02,2020,5,Malaga,Paid Search,Online,2196.79,Click&Collect
2020-01-27,2020-02-02,2020,5,Malaga,Social Paid,Online,1070.24,Performance
2020-01-27,2020-02-02,2020,5,Malaga,Video Online,Online,2964.47,Performance
2020-01-27,2020-02-02,2020,5,Malaga,Display,Online,799.63,Trafico tienda
2020-01-27,2020-02-02,2020,5,Malaga,Email CRM,Online,1681.67,Trafico tienda
2020-01-27,2020-02-02,2020,5,Malaga,Radio Local,Offline,1279.94,Remarketing
2020-01-27,2020-02-02,2020,5,Malaga,Exterior,Offline,1840.2,Click&Collect
2020-01-27,2020-02-02,2020,5,Malaga,Prensa,Offline,1037.96,Performance
2020-01-27,2020-02-02,2020,5,Zaragoza,Paid Search,Online,2497.89,Click&Collect
2020-01-27,2020-02-02,2020,5,Zaragoza,Social Paid,Online,954.92,Captacion
2020-01-27,2020-02-02,2020,5,Zaragoza,Video Online,Online,1808.07,Notoriedad
2020-01-27,2020-02-02,2020,5,Zaragoza,Display,Online,1060.44,Notoriedad
2020-01-27,2020-02-02,2020,5,Zaragoza,Email CRM,Online,775.61,Click&Collect
2020-01-27,2020-02-02,2020,5,Zaragoza,Radio Local,Offline,830.14,Click&Collect
2020-01-27,2020-02-02,2020,5,Zaragoza,Exterior,Offline,2117.83,Notoriedad
2020-01-27,2020-02-02,2020,5,Zaragoza,Prensa,Offline,737.98,Click&Collect
2020-01-27,2020-02-02,2020,5,Bilbao,Paid Search,Online,2186.26,Captacion
2020-01-27,2020-02-02,2020,5,Bilbao,Social Paid,Online,2391.89,Click&Collect
2020-01-27,2020-02-02,2020,5,Bilbao,Video Online,Online,1919.81,Performance
2020-01-27,2020-02-02,2020,5,Bilbao,Display,Online,603.75,Remarketing
2020-01-27,2020-02-02,2020,5,Bilbao,Email CRM,Online,812.54,Trafico tienda
2020-01-27,2020-02-02,2020,5,Bilbao,Radio Local,Offline,783.75,Click&Collect
2020-01-27,2020-02-02,2020,5,Bilbao,Exterior,Offline,1249.19,Click&Collect
2020-01-27,2020-02-02,2020,5,Bilbao,Prensa,Offline,822.28,Performance
2020-01-27,2020-02-02,2020,5,Murcia,Paid Search,Online,3476.41,Notoriedad
2020-01-27,2020-02-02,2020,5,Murcia,Social Paid,Online,1652.39,Trafico tienda
2020-01-27,2020-02-02,2020,5,Murcia,Video Online,Online,1498.0,Performance
2020-01-27,2020-02-02,2020,5,Murcia,Display,Online,648.08,Click&Collect
2020-01-27,2020-02-02,2020,5,Murcia,Email CRM,Online,370.82,Captacion
2020-01-27,2020-02-02,2020,5,Murcia,Radio Local,Offline,1000.24,Trafico tienda
2020-01-27,2020-02-02,2020,5,Murcia,Exterior,Offline,1008.62,Performance
2020-01-27,2020-02-02,2020,5,Murcia,Prensa,Offline,1104.39,Click&Collect
2020-01-27,2020-02-02,2020,5,Palma,Paid Search,Online,2329.86,Captacion
2020-01-27,2020-02-02,2020,5,Palma,Social Paid,Online,1871.29,Remarketing
2020-01-27,2020-02-02,2020,5,Palma,Video Online,Online,1980.11,Performance
2020-01-27,2020-02-02,2020,5,Palma,Display,Online,748.26,Performance
2020-01-27,2020-02-02,2020,5,Palma,Email CRM,Online,319.12,Performance
2020-01-27,2020-02-02,2020,5,Palma,Radio Local,Offline,1114.97,Remarketing
2020-01-27,2020-02-02,2020,5,Palma,Exterior,Offline,1138.56,Click&Collect
2020-01-27,2020-02-02,2020,5,Palma,Prensa,Offline,461.15,Click&Collect
2020-01-27,2020-02-02,2020,5,A Coruna,Paid Search,Online,2417.99,Remarketing
2020-01-27,2020-02-02,2020,5,A Coruna,Social Paid,Online,1426.4,Trafico tienda
2020-01-27,2020-02-02,2020,5,A Coruna,Video Online,Online,873.33,Notoriedad
